title,link,publish_date,content
《大行》建銀國際升小米(01810.HK)目標價至67元 受惠內地消費補貼,https://hk.finance.yahoo.com/news/%E5%A4%A7%E8%A1%8C-%E5%BB%BA%E9%8A%80%E5%9C%8B%E9%9A%9B%E5%8D%87%E5%B0%8F%E7%B1%B3-01810-hk-%E7%9B%AE%E6%A8%99%E5%83%B9%E8%87%B367%E5%85%83-034135041.html,11 小時前,建銀國際研究報告指，小米(01810.HK)首季業績一如預期中強勁，收入按年升47%，由各業務、尤其是物聯網的增長帶動。展望未來表現，該行料2025及22026年智能手機出貨量將分別升5%及8%，物聯網業務增長分別為30%及20%，而互聯網服務則分別增長7%及6%。電動車方面，該行預期2025及26年出貨量為35萬輛及44萬輛。 報告指，預料小米會是政府對智能手機和電子產品補貼的主要受益者，料毛利率將保持強勁，因高端產品的滲透率提高；將2025、2026及2027年的盈利預測分別上調8%、5%和9%，目標價由65元升至67元，維持「跑贏大市」評級，並籲留意新車型YU7推出。(ss/w)~ 阿思達克財經新聞 網址: www.aastocks.com
《大行》Bernstein上調小米(01810.HK)目標價至60元 重申「跑贏大市」評級,https://hk.finance.yahoo.com/news/%E5%A4%A7%E8%A1%8C-bernstein%E4%B8%8A%E8%AA%BF%E5%B0%8F%E7%B1%B3-01810-hk-%E7%9B%AE%E6%A8%99%E5%83%B9%E8%87%B360%E5%85%83-031653223.html,11 小時前,法國興業銀行集團旗下研究部門Bernstein發表研報指，小米(01810.HK)今年首季業績表現亮麗，收入按年大幅增長47.4%，毛利率達到創新高的22.8%，盈利更增長161%，考慮到業務發展較預期強，將今明兩年收入預測上調4%及3%，每股盈利預測亦上調28%及16%。 該行認為，小米首季業績向好，部分是來自於智能手機和物聯網產品銷售受到國家補貼政策的推動，但亦源於產品質量提升、技術能力改善以及品牌資產增強，同時看好其電動汽車業務發展前景，重申對小米的「跑贏大市」評級，目標價從55元上調至60元。(gc/a)~ 阿思達克財經新聞 網址: www.aastocks.com
盧偉冰：競爭從來不是小米(01810.HK)未來關鍵,https://hk.finance.yahoo.com/news/%E7%9B%A7%E5%81%89%E5%86%B0-%E7%AB%B6%E7%88%AD%E5%BE%9E%E4%BE%86%E4%B8%8D%E6%98%AF%E5%B0%8F%E7%B1%B3-01810-hk-%E6%9C%AA%E4%BE%86%E9%97%9C%E9%8D%B5-030017790.html,12 小時前,小米集團(01810.HK)總裁盧偉冰昨晚(6月1日)於微博上回應投資者就小米未來困難或挑戰的提問，他指一直在思考兩點，一是隨著小米發展的業務規模和組織規模越來越大，小米會不會逐漸偏離小米的價值觀，會不會跟用戶的距離越來越遠；二是小米的管理體系能否持續升級，是否與業務發展的規模匹配。他表示，競爭從來不是、未來也不會是關鍵；他一直深信「不可勝在己，可勝在敵」。(ss/u)~ 阿思達克財經新聞 網址: www.aastocks.com
建銀國際上調小米集團(01810)目標價3% 建議關注YU7,https://hk.finance.yahoo.com/news/%E5%BB%BA%E9%8A%80%E5%9C%8B%E9%9A%9B%E4%B8%8A%E8%AA%BF%E5%B0%8F%E7%B1%B3%E9%9B%86%E5%9C%98-01810-%E7%9B%AE%E6%A8%99%E5%83%B93-%E5%BB%BA%E8%AD%B0%E9%97%9C%E6%B3%A8yu7-021732451.html,12 小時前,<匯港通訊> 建銀國際發報告指，由於小米集團(01810)在市場上的強大地位，必然是政府對智能手機及消費電子產品補貼的主要受惠者。隨著高端產品滲透率提升，該行預期集團毛利率將維持強勁。由於利潤率預期改善，上調2025-2027年盈測8%/5%/9%。因此上調集團目標價3%，由65港元升至67港元，維持「跑赢大市」評級，但建議密切留意新推出的YU7。報告表示，小米集團今年首季業績一如預期強勁，同時智能手機高端化進展順利。該行預計，今明兩年小米手機的出貨量將有5%/8%的增長。隨著小米剛推出自主設計的智能手機SoC晶片及其15S Pro已配備該新晶片。因此，該行相信此決定將加強小米在智能手機方面的能力，尤其是在硬件軟件整合方面。季内，小米集團家庭電器銷售暢旺，物聯網的強勁勢頭持續。由於小米的全球據點不斷擴大，該行預期其市佔率將於今年有所提升。並預測今明兩年集團物聯網業務將有30%/20%的增長。在網路服務領域，則預計將實現7%/6%的穩定增長。電動車業務方面，現所有目光都集中在YU7車型上，該行相信這將預示著該集團電動車業務的新發展道路。該行預測2025-2026年全年小米將交付35萬-44萬輛電動車產品。 (CW)
小米YU7料7月量產 雷軍：詆毀本身就是一種仰望,https://hk.finance.yahoo.com/news/%E5%B0%8F%E7%B1%B3yu7%E6%96%997%E6%9C%88%E9%87%8F%E7%94%A2-%E9%9B%B7%E8%BB%8D-%E8%A9%86%E6%AF%80%E6%9C%AC%E8%BA%AB%E5%B0%B1%E6%98%AF-%E7%A8%AE%E4%BB%B0%E6%9C%9B-004752469.html,14 小時前,小米(01810.HK)董事長兼首席執行官雷軍於微博透露，今年5月份小米SU7交付量超過2.8萬輛，集團正全力為小米YU7大規模量產做準備，預計將於7月份量產。他又引用莫言，稱「詆毀，本身就是一種仰望」，惟其後再編輯該條微博，刪除有關言論，但仍然保留配圖。 而集團合夥人、總裁兼小米品牌總經理盧偉冰則表示，集團本著十倍投入做一輛好車的決心，認為小米SU7及YU7獲得較高的關注度和期待，都是以強大的產品力為基礎。 市場猜測，雷軍的言論疑似回應華為常務董事兼終端BG董事長余承東。余承東日前出席2025未來汽車先行者大會時表示，看到很多車廠發貨的電池標準，但如按照華為質量標準，有的車廠一輛車都不能發貨及出廠，並直言質量是華為的生命線。(gc/j)~ 阿思達克財經新聞 網址: www.aastocks.com
百度起訴小米不正當競爭糾紛案件據報下周五開庭,https://hk.finance.yahoo.com/news/%E7%99%BE%E5%BA%A6%E8%B5%B7%E8%A8%B4%E5%B0%8F%E7%B1%B3%E4%B8%8D%E6%AD%A3%E7%95%B6%E7%AB%B6%E7%88%AD%E7%B3%BE%E7%B4%9B%E6%A1%88%E4%BB%B6%E6%93%9A%E5%A0%B1%E4%B8%8B%E5%91%A8%E4%BA%94%E9%96%8B%E5%BA%AD-232916808.html,15 小時前,據內媒引述天眼查資料信息顯示，北京百度網訊科技與小米科技及上海宜誼信息科技相關的不正當競爭糾紛案件新增開庭公告稱，該案件將於下周五(13日)在上海市青浦區人民法院開庭審理。 據悉，北京百度網訊科技起訴該兩家公司的案由均為「不正當競爭糾紛」。(ta/w)~ 阿思達克財經新聞 網址: www.aastocks.com
"小米汽車5月交付量逾28,000輛 按月持平",https://hk.finance.yahoo.com/news/%E5%B0%8F%E7%B1%B3%E6%B1%BD%E8%BB%8A5%E6%9C%88%E4%BA%A4%E4%BB%98%E9%87%8F%E9%80%BE28-000%E8%BC%9B-%E6%8C%89%E6%9C%88%E6%8C%81%E5%B9%B3-232706783.html,15 小時前,"小米集團-W(01810.HK)公布，小米汽車5月交付量超過28,000輛，按月持平，並表示正為小米YU7大規模量產做準備。 小米汽車公布開店新進展稱，5月新增29家門店，全國82個城市已有298家門店；6月計劃新增37家門店，預計覆蓋寶雞發滄州等10個城市。截止上周六(5月31日)，全國已有153家服務網點，覆蓋全國88個城市。(ta/w)~ 阿思達克財經新聞 網址: www.aastocks.com"
余承東暗諷小米車 雷軍：詆毀就是仰望,https://hk.finance.yahoo.com/news/%E4%BD%99%E6%89%BF%E6%9D%B1%E6%9A%97%E8%AB%B7%E5%B0%8F%E7%B1%B3%E8%BB%8A-%E9%9B%B7%E8%BB%8D-%E8%A9%86%E6%AF%80%E5%B0%B1%E6%98%AF%E4%BB%B0%E6%9C%9B-181400112.html,15 小時前,"華為常務董事兼終端BG董事長余承東，日前出席內地的2025未來汽車先行者大會時表示，有公司「只做一款車就賣爆了，雖然它的產品可能不是那麼好」，被認為有關言論是影射小米（1810.HK）。

余：勿犧牲質量遷就成本

余承東不點名批評所指公司的汽車之質量及智駕能力，稱「按華為的質量標準，有的車廠它一台車都不能發貨」。他又呼籲同業，應製造高質量的產品，不能為了過分追求低成本而犧牲質量。

余承東續指，因為所指的企業有強大的品牌能力與流量能力，所以「一個產品就能打爆」，更稱「我們做的產品，做的比它還好啊，質量好、體驗好、性能好，各方面都好，你還賣不過它，甚至還賣不過他的零頭」。

小米創辦人、董事長雷軍昨於微博上發文，公布小米SU7在5月份的交付量達28000部，並稱小米正全力為YU7大規模量產做準備，預計7月份量產。

值得留意的是，雷軍於發文結尾引述2012年獲得諾貝爾文學獎的中國作家莫言的話，寫道「剛學會一句莫言名言：詆毀，本身就是一種仰望」。更付上一張載有上述文字的圖片，被認為是對余承東的回應。惟雷軍不久之後編輯了該條微博，刪除上述有關莫言說話的段落，但繼續留有載有該句說話的圖片。

小米5月交車量飆逾兩倍

各大車企交付量方面，小米5月份汽車交付量為28000輛，較4月份持平，按年計仍錄223%升幅。「造車新勢力」交付量仍以理想（02015）最多，上月交付量40856輛，按年及按月分別增加16.7%及20.4%。蔚來（09866）及小鵬（09868）上月交付量分別只有23231輛及33525輛，兩者按年分別增加13.1%及230.4%，惜按月分別倒退2.8%及4.3%。

不僅理想，零跑（09863）以及吉利旗下極氪科技，兩者5月份交付量均超過4萬輛。零跑在5月份交付了45067輛車，按年及按月分別增加148%及9.8%；極氪科技5月份銷量46538輛，按年及按月分別增加15.2%及12.6%。

至於行業龍頭比亞迪（01211），上月合共售出38.25萬輛車，按年增加15.3%，按月僅微升0.6%。"
余承東:某公司只做一款車就賣爆 雷軍留莫言詆毀名言後速刪文,https://hk.finance.yahoo.com/news/%E4%BD%99%E6%89%BF%E6%9D%B1-%E6%9F%90%E5%85%AC%E5%8F%B8%E5%8F%AA%E5%81%9A-%E6%AC%BE%E8%BB%8A%E5%B0%B1%E8%B3%A3%E7%88%86-%E9%9B%B7%E8%BB%8D%E7%95%99%E8%8E%AB%E8%A8%80%E8%A9%86%E6%AF%80%E5%90%8D%E8%A8%80%E5%BE%8C%E9%80%9F%E5%88%AA%E6%96%87-125117818.html,昨日,"<匯港通訊> 華為常務董事兼終端 BG 董事長余承東昨日(5月31日)在未來汽車先行者大會表​​示,從其他行業來的公司,只做一款車就賣爆了,雖然它的產品可能不是那麼好,但賣得很爆。小米(01810)董事長雷軍和總裁盧偉冰分別在微博發文。其中,雷軍表示,剛學會一句作家莫言的名言「詆譭,本身就是一種仰望」。然而,雷軍隨後編輯了這條微博,並刪除了這句莫言的名言,僅留下相關圖片和小米汽車5月銷售量資訊。盧偉冰貼文亦引用莫言同一句說話,指無論是小米 SU7 賣爆,抑或 YU7 獲得比 SU7 更高的關注和期待,都是以強大的產品力作為基礎。本著「10倍投入做一輛好車」的決心,獲得千萬網友的嚴選而勝出。盧偉冰並發布小米汽車在粵港澳大灣區車展人頭湧動的視頻,指小米汽車受歡迎,是小米價值觀、小米模式、和小米方法論的成功。內地媒體報道,余承東呼籲提高汽車產業品質與安全標準。他說,正是因為這家企業有強大的品牌能力、流量能力,所以一個產品就能打爆;華為做的產品,做的比它還好,質量好、體驗好、性能好,各方面都好,還賣不過它,甚至還賣不過它的零頭。余承東表示,他今天說的話可能有點過頭,按華為的質量標準,有的車廠它一輛車都不能發貨,但是有的不符合華為質量標準的汽車仍在海量發貨,他看完之後「一身冷汗」;呼籲做高質量的產品,不能為了過度追求低成本而犧牲質量;質量是生命線,質量才是最大的豪華。他稱,非常支持打擊盲目亂吹、不顧生命安全的瞎吹的做法,是不負責任,也會造成非常嚴重的問題；目前汽車企業不僅要有製造、銷售、服務能力,還需要有很強大的對用戶體驗的掌握能力、產品定義、產品分析、產品市場定位定義和設計能力。 (BC)#華為 #余承東 #小米 #雷軍"
小米汽車5月交付量按月持平,https://hk.finance.yahoo.com/news/%E5%B0%8F%E7%B1%B3%E6%B1%BD%E8%BB%8A5%E6%9C%88%E4%BA%A4%E4%BB%98%E9%87%8F%E6%8C%89%E6%9C%88%E6%8C%81%E5%B9%B3-100552498.html,昨日,"<匯港通訊> 小米集團(01810)公布,小米汽車5月交付量超過2.8萬輛,按月比持計。該集團表示,正為小米 YU7 大規模量產做準備。另外,小米於社交平台稱,5月新增29家門店,全國82城已有298家門店;6月計劃新增37家門店,預計覆蓋寶雞、滄州等10座城市;截止5月31日,全國已有153家服務網點,覆蓋全國88城。 (BC)#小米汽車"
不正當競爭｜百度起訴小米等不正當競爭 下月上海開庭 雙方未有回應,https://hk.finance.yahoo.com/news/%E4%B8%8D%E6%AD%A3%E7%95%B6%E7%AB%B6%E7%88%AD-%E7%99%BE%E5%BA%A6%E8%B5%B7%E8%A8%B4%E5%B0%8F%E7%B1%B3%E7%AD%89%E4%B8%8D%E6%AD%A3%E7%95%B6%E7%AB%B6%E7%88%AD-%E4%B8%8B%E6%9C%88%E4%B8%8A%E6%B5%B7%E9%96%8B%E5%BA%AD-%E9%9B%99%E6%96%B9%E6%9C%AA%E6%9C%89%E5%9B%9E%E6%87%89-154132749.html,前日,"內媒引述天眼查法律訴訟信息報道，北京百度網訊科技有限公司與小米科技有限責任公司、上海宜誼信息科技有限公司相關的不正當競爭糾紛案件新增開庭公告，原告為北京百度網訊科技有限公司，案件將於6月13日在上海市青浦區人民法院開庭審理。

《新浪科技》就案件訊息向百度及小米查詢，惟截稿前雙方均未有回應。"
美的方洪波:不怕小米進入家電產業 誰贏都是一場巨大的消耗戰,https://hk.finance.yahoo.com/news/%E7%BE%8E%E7%9A%84%E6%96%B9%E6%B4%AA%E6%B3%A2-%E4%B8%8D%E6%80%95%E5%B0%8F%E7%B1%B3%E9%80%B2%E5%85%A5%E5%AE%B6%E9%9B%BB%E7%94%A2%E6%A5%AD-%E8%AA%B0%E8%B4%8F%E9%83%BD%E6%98%AF-%E5%A0%B4%E5%B7%A8%E5%A4%A7%E7%9A%84%E6%B6%88%E8%80%97%E6%88%B0-093617062.html,3 日前,<匯港通訊> 今日下午，美的集團(00300)董事長兼總裁方洪波於2024年度股東大會時表示，公司策略上不害怕小米集團(01810)進入家電產業，這是基於常識來分析和判斷的結果。他指，家電產業門檻不高，但高度競爭，行業是紅海。且家電是機電產品，打法固定，產業效率提升空間也不太大。因此，無論怎麼打，最終誰勝，都是一場巨大的消耗戰。 (CW)
財經｜百度據報起訴小米等不正當競爭 6月上海開庭,https://hk.finance.yahoo.com/news/%E8%B2%A1%E7%B6%93-%E7%99%BE%E5%BA%A6%E6%93%9A%E5%A0%B1%E8%B5%B7%E8%A8%B4%E5%B0%8F%E7%B1%B3%E7%AD%89%E4%B8%8D%E6%AD%A3%E7%95%B6%E7%AB%B6%E7%88%AD-6%E6%9C%88%E4%B8%8A%E6%B5%B7%E9%96%8B%E5%BA%AD-090354781.html,3 日前,"內地傳媒報道，百度(09888)起訴小米(01810)等不正當競爭，將於6月開庭。

報道引述天眼查法律訴訟訊息指出，北京百度網訊科技有限公司與小米科技有限責任公司、上海宜誼訊息科技有限公司相關的不正當競爭糾紛案件，新增開庭公告，原告為北京百度網訊科技有限公司，將於6月13日在上海市青浦區人民法院開庭審理。"
小米YU7將於2025粵港澳大灣區車展進行首秀 雷軍透露自己近期不會參加車展,https://hk.finance.yahoo.com/news/%E5%B0%8F%E7%B1%B3yu7%E5%B0%87%E6%96%BC2025%E7%B2%B5%E6%B8%AF%E6%BE%B3%E5%A4%A7%E7%81%A3%E5%8D%80%E8%BB%8A%E5%B1%95%E9%80%B2%E8%A1%8C%E9%A6%96%E7%A7%80-%E9%9B%B7%E8%BB%8D%E9%80%8F%E9%9C%B2%E8%87%AA%E5%B7%B1%E8%BF%91%E6%9C%9F%E4%B8%8D%E6%9C%83%E5%8F%83%E5%8A%A0%E8%BB%8A%E5%B1%95-075258456.html,3 日前,小米(01810.HK)董事長雷軍表示，小米YU7將於2025粵港澳大灣區車展進行首秀，同場亦有小米SU7 Ultra及小米SU7全方位展示，不過他透露自己最近不會參加車展，網友估計雷軍是要專心做好YU7上市前準備工作。 雷軍又透露，小米SU7Ultra將成為明日(31日)開賽的小米·中國汽車耐力錦標賽成都站的安全車及醫療車為賽事護航，還會帶來開幕式飄移表演。 另外，有網友繼SU7創始版後，再提起SU7 Ultra。對此，雷軍發文稱，「感謝15年的不離不棄，大家的支持是我們不斷前進最大的動力！我們一定會不斷進步，愈來愈好！」。(mn/j)~ 阿思達克財經新聞 網址: www.aastocks.com
百度起訴小米等不正當競爭 將於6月開庭,https://hk.finance.yahoo.com/news/%E7%99%BE%E5%BA%A6%E8%B5%B7%E8%A8%B4%E5%B0%8F%E7%B1%B3%E7%AD%89%E4%B8%8D%E6%AD%A3%E7%95%B6%E7%AB%B6%E7%88%AD-%E5%B0%87%E6%96%BC6%E6%9C%88%E9%96%8B%E5%BA%AD-063736713.html,3 日前,<匯港通訊> 天眼查法律訴訟信息顯示，近日，北京百度網訊科技有限公司與上海宜誼信息科技有限公司、小米科技有限責任公司相關不正當競爭糾紛案件新增開庭公告，原告為北京百度網訊科技有限公司，該案件將於6月13日在上海市青浦區人民法院開庭審理。 (LF)
